COUNTRY,PROJECT,YEAR,AMOUNT,LENDER,BORROWER,SECTOR,SENSITIVE TERRITORY OVERLAP
Angola,"“Lar Patriota"" Infrastructure (Phase 1)",2011,$50M,CDB,Government,Transport,None Known
Angola,3 Training Centers and Equipment for Angolan Railway Companies,2016,$39M,ExImBank,Government,Transport,None Known
Angola,Angola's Railways Workshops Rehabilitation and Modernization,2011,$83M,ExImBank,Government,Manufacturing,None Known
Angola,"Benguela, EN100 Road Rehabilitation, Cabo Ledo-Lobito (Lot 5), Ponte do Rio Eval/ Ponte do Rio Culango",2016,$41M,CDB,Government,Transport,Within Critical Habitats
Angola,Cabina University Campus Construction Contract (Phase II),2016,$50M,CDB,Government,Government,None Known
Angola,Cabinda Airport Expansion,2016,$60M,CDB,Government,Transport,None Known
Angola,Cabinda Breakwater Construction,2016,$38M,CDB,Government,Other construction,None Known
Angola,Cabinda infrastructure (Phase I Lot 1),2017,$119M,CDB,Government,Other construction,None Known
Angola,Cabinda infrastructure (Phase I Lot 2),2017,$117M,CDB,Government,Other construction,None Known
Angola,Cabinda Infrastructure (Phase II),2017,$140M,CDB,Government,Other construction,None Known
Angola,Cabinda Sea and Land Terminal Construction,2016,$56M,CDB,Government,Transport,None Known
Angola,Cabinda Urban Road Construction,2017,$75M,CDB,Government,Transport,Within Critical Habitats
Angola,Cabolongo-Cacuaco Expressway Rehabilitation (Connection to the Camama Road with Access to Zango and Central Kilamba),2016,$189M,CDB,Government,Transport,None Known
Angola,Caio Port in Cabinda & Sinosure Premium,2016,$932M,ExImBank,Government,Transport,None Known
Angola,Camacupa Farm,2012,$89M,CDB,Government,"Agriculture, food",None Known
Angola,Camaiangala Farm,2013,$79M,CDB,Government,"Agriculture, food",None Known
Angola,Camama Road Infrastructure (1st disbursement),2011,$86M,CDB,Government,Transport,None Known
Angola,Camama Road Infrastructure (2nd disbursement),2011,$31M,CDB,Government,Transport,None Known
Angola,Camama Road Infrastructure (3rd disbursement),2012,$54M,CDB,Government,Transport,None Known
Angola,Caxito/N'zeto/M'banza Congo Road Construction,2011,$465M,ExImBank,Government,Transport,Within Critical Habitats
